City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
110,Anse-Bertrand,GP,2020-01-17 00:42:36,16.47,-61.51,77.52,79,12,17.13,light rain,0.5,0.0
111,Wad Rawah,SD,2020-01-17 00:42:36,15.16,33.14,69.49,31,0,9.84,clear sky,0.0,0.0
112,Katsuura,JP,2020-01-17 00:42:36,35.13,140.3,46.99,56,100,11.01,overcast clouds,0.06,0.0
113,Dubbo,AU,2020-01-17 00:42:37,-32.25,148.62,76.64,57,82,7.87,broken clouds,0.0,0.0
114,Mataura,NZ,2020-01-17 00:42:37,-46.19,168.86,73.83,64,2,0.63,clear sky,0.0,0.0
115,Yala,TH,2020-01-17 00:42:37,6.33,101.25,69.22,95,100,2.89,overcast clouds,0.0,0.0
116,Norman Wells,CA,2020-01-17 00:38:25,65.28,-126.83,-11.15,92,83,0.65,broken clouds,0.0,0.0
117,Meulaboh,ID,2020-01-17 00:42:38,4.14,96.13,80.92,80,99,8.95,light rain,2.0,0.0
118,Fayaoue,NC,2020-01-17 00:42:39,-20.65,166.53,79.02,78,29,14.41,scattered clouds,0.0,0.0
119,Torbay,CA,2020-01-17 00:42:39,47.67,-52.73,16.0,87,0,7.72,clear sky,0.0,0.0
120,Guasdualito,VE,2020-01-17 00:42:39,7.24,-70.73,80.49,70,43,3.33,scattered clouds,0.0,0.0
121,Kaitangata,NZ,2020-01-17 00:42:39,-46.28,169.85,64.99,64,0,13.27,clear sky,0.0,0.0
122,Moron,AR,2020-01-17 00:40:54,-34.65,-58.62,72.0,53,0,1.01,clear sky,0.0,0.0
123,Qaanaaq,GL,2020-01-17 00:42:40,77.48,-69.36,-18.45,57,0,8.37,clear sky,0.0,0.0
124,Champerico,GT,2020-01-17 00:42:41,14.3,-91.92,80.53,68,0,5.41,clear sky,0.0,0.0
125,Frederico Westphalen,BR,2020-01-17 00:42:41,-27.36,-53.39,72.0,95,100,7.96,overcast clouds,0.0,0.0
126,Codrington,AU,2020-01-17 00:42:42,-38.27,141.97,56.71,77,51,19.44,broken clouds,0.0,0.0
127,Hithadhoo,MV,2020-01-17 00:42:42,-0.6,73.08,81.5,78,65,16.26,broken clouds,0.0,0.0
128,Quang Ngai,VN,2020-01-17 00:42:42,15.12,108.8,72.88,78,17,8.5,few clouds,0.0,0.0
