City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (current 3 hours),Snow Inches (current 3 hours)
123,Kruisfontein,ZA,2020-01-13 03:50:15,-34.0,24.73,66.09,94,39,3.13,scattered clouds,0.0,0.0
124,Homer,US,2020-01-13 03:50:15,59.64,-151.55,26.6,85,90,5.82,light rain,0.0,0.0
125,Egvekinot,RU,2020-01-13 03:50:16,66.32,-179.17,12.74,93,100,9.55,light snow,0.0,1.0
126,Fortuna Foothills,US,2020-01-13 03:50:16,32.66,-114.41,62.6,34,1,5.82,clear sky,0.0,0.0
127,Vestmannaeyjar,IS,2020-01-13 03:50:17,63.44,-20.27,36.5,72,11,23.33,few clouds,0.0,0.0
128,Port Hardy,CA,2020-01-13 03:50:18,50.7,-127.42,24.8,73,40,10.29,scattered clouds,0.0,0.0
129,Biak,ID,2020-01-13 03:50:18,-0.91,122.88,82.67,78,100,9.91,overcast clouds,0.0,0.0
130,Tevaitoa,PF,2020-01-13 03:50:18,-16.78,-151.5,81.23,79,100,12.53,moderate rain,3.13,0.0
131,Anloga,GH,2020-01-13 03:50:19,5.79,0.9,80.6,94,20,3.36,few clouds,0.0,0.0
132,Iqaluit,CA,2020-01-13 03:50:19,63.75,-68.51,-13.0,69,75,3.36,broken clouds,0.0,0.0
133,Bilma,NE,2020-01-13 03:50:19,18.69,12.92,67.64,17,100,12.71,overcast clouds,0.0,0.0
134,Petropavlovsk-Kamchatskiy,RU,2020-01-13 03:46:50,53.05,158.65,19.4,92,90,2.24,light shower snow,0.0,0.0
135,Chara,RU,2020-01-13 03:46:57,56.91,118.26,-9.83,78,0,0.43,clear sky,0.0,0.0
136,Synya,RU,2020-01-13 03:50:20,65.37,58.04,19.71,91,100,11.79,light snow,0.0,0.31
137,Shimoda,JP,2020-01-13 03:50:20,34.67,138.95,59.0,43,20,20.8,few clouds,0.0,0.0
138,Altamirano,MX,2020-01-13 03:50:21,16.88,-92.15,61.77,98,47,0.67,light rain,1.19,0.0
139,Yar-Sale,RU,2020-01-13 03:50:21,66.83,70.83,2.05,83,100,18.52,overcast clouds,0.0,0.0
140,Yellowknife,CA,2020-01-13 03:45:31,62.46,-114.35,-40.0,65,5,4.7,mist,0.0,0.0
141,Romitan,UZ,2020-01-13 03:50:22,39.93,64.38,28.4,74,90,6.93,overcast clouds,0.0,0.0
142,Ancud,CL,2020-01-13 03:50:22,-41.87,-73.82,59.0,72,0,10.29,clear sky,0.0,0.0
143,Zaterechnyy,RU,2020-01-13 03:50:23,44.79,45.21,31.84,90,8,8.86,clear sky,0.0,0.0
144,Fiumicino,IT,2020-01-13 03:50:24,41.77,12.23,44.6,93,0,4.7,clear sky,0.0,0.0
145,Yima,CN,2020-01-13 03:50:24,34.74,111.88,39.42,45,68,12.82,broken clouds,0.0,0.0
146,Palmer,US,2020-01-13 03:49:47,42.16,-72.33,37.0,65,20,3.36,few clouds,0.0,0.0
147,Peterhead,GB,2020-01-13 03:50:25,57.51,-1.8,37.99,85,20,3.36,few clouds,0.0,0.0
148,Wilmington,US,2020-01-13 03:47:47,34.23,-77.94,69.01,100,75,3.36,broken clouds,0.0,0.0
149,Roma,US,2020-01-13 03:47:58,43.21,-75.46,28.99,92,90,8.05,overcast clouds,0.0,0.0
150,Ocos,GT,2020-01-13 03:50:26,14.51,-92.19,73.4,88,5,2.21,clear sky,0.0,0.0
151,Fond Du Lac,US,2020-01-13 03:47:23,43.77,-88.44,30.99,92,90,8.23,light rain,0.0,0.0
152,Bengkulu,ID,2020-01-13 03:46:09,-3.8,102.27,85.48,58,83,4.41,broken clouds,0.0,0.0
153,Prince Rupert,CA,2020-01-13 03:49:03,54.32,-130.32,10.4,85,1,10.13,clear sky,0.0,0.0
